,NUME_ORDRE,FREQ_SOR,FREQ_LAN,FREQ_QZ_SIMPLE,FREQ_QZ_EQUI
0,1,165.72756413773925,165.72756412903905,165.7275641376243,165.72756415038188
1,2,165.72756413786678,165.72756415728963,165.7275641376243,165.72756415038188
2,3,987.8524954643137,987.8524954647402,987.8524954643449,987.85249549556
3,4,987.8524954643597,987.8524954655823,987.8524954643449,987.85249549556
4,5,1477.499858249893,1477.4998582499848,1477.4998582557296,1477.4998582499827
5,6,2587.76343098364,2587.763430983608,2587.763430983613,2587.7634309860746
6,7,2587.7634309836603,2587.763430983653,2587.763430983613,2587.7634309860746
7,8,2591.706198406122,2591.706198406238,2591.706198406132,2591.706198412357
8,9,4396.1186246986545,4396.11862469866,4396.118624701638,4396.118624698698
9,10,4657.999736875042,4657.999736874987,4657.9997368752565,4657.999736873959
10,11,4657.999736875042,4657.999736875041,4657.9997368752565,4657.999736873959
